country,code
United States of America,USA
Australia,AUS
Canada,CAN
New Zealand,NZL
Bahrain,BHR
United Kingdom,GBR
China,CHN
Ukraine,UKR
Philippines,PHL
Russian Federation,RUS
Dubai,DOM
France,FRA
Kyrgyzstan,KGZ
Nepal,NPL
Poland,POL
Kazakhstan,KAZ
Sweden,SWE
Ireland,IRL
Germany,DEU
Malaysia,MYS
Tanzania,TZA
Iran,IRN
Italy,ITA
South Korea,ZAF
Bangladesh,BGD
Finland,FIN
Japan,JPN
Saudi Arabia,SAU
Belgium,BEL
Israel,ISR
Mauritius,MUS
Switzerland,CHE
HongKong,HKG
Czech Republic,CZE
Hungary,HUN
Belarus,BLR
Austria,AUT
Denmark,DNK
Norway,NOR
Romania,ROU
Moldova,MDA
Estonia,EST
South Africa,ZAF
Egypt,EGY
Mexico,MEX
Kuwait,KWT
Bulgaria,BGR
Uzbekistan,UZB
Sudan,SDN
Turkey,TUR
Brazil,BRA
Brunei Darussalam,BRN
Indonesia,IDN
Slovakia,SVK
Sri Lanka,LKA
Iceland,ISL
Libya,LBY
Greece,GRC
Cuba,CUB
Niger,NIC
Bosnia Herzegovina,BIH
Lebanon,LBN
Chile,CHL
Mongolia,MNG
Serbia,SRB
