adviser,32/60,125,256,6000,256,16,128,198,199.00
amdahl,470v/7,29,8000,32000,32,8,32,269,253.00
amdahl,470v/7a,29,8000,32000,32,8,32,220,253.00
amdahl,470v/7b,29,8000,32000,32,8,32,172,253.00
amdahl,470v/7c,29,8000,16000,32,8,16,132,132.00
amdahl,470v/b,26,8000,32000,64,8,32,318,290.00
amdahl,580-5840,23,16000,32000,64,16,32,367,381.00
amdahl,580-5850,23,16000,32000,64,16,32,489,381.00
amdahl,580-5860,23,16000,64000,64,16,32,636,749.00
amdahl,580-5880,23,32000,64000,128,32,64,1144,1238.00
apollo,dn320,400,1000,3000,0,1,2,38,23.00
apollo,dn420,400,512,3500,4,1,6,40,24.00
basf,Jul-65,60,2000,8000,65,1,8,92,70.00
basf,Jul-68,50,4000,16000,65,1,8,138,117.00
bti,5000,350,64,64,0,1,4,10,15.00
bti,8000,200,512,16000,0,4,32,35,64.00
burroughs,b1955,167,524,2000,8,4,15,19,23.00
burroughs,b2900,143,512,5000,0,7,32,28,29.00
burroughs,b2925,143,1000,2000,0,5,16,31,22.00
burroughs,b4955,110,5000,5000,142,8,64,120,124.00
burroughs,b5900,143,1500,6300,0,5,32,30,35.00
burroughs,b5920,143,3100,6200,0,5,20,33,39.00
burroughs,b6900,143,2300,6200,0,6,64,61,40.00
burroughs,b6925,110,3100,6200,0,6,64,76,45.00
c.r.d,68/10-80,320,128,6000,0,1,12,23,28.00
c.r.d,universe:2203t,320,512,2000,4,1,3,69,21.00
c.r.d,universe:68,320,256,6000,0,1,6,33,28.00
c.r.d,universe:68/05,320,256,3000,4,1,3,27,22.00
c.r.d,universe:68/137,320,512,5000,4,1,5,77,28.00
c.r.d,universe:68/37,320,256,5000,4,1,6,27,27.00
cdc,cyber:170/750,25,1310,2620,131,12,24,274,102.00
cdc,cyber:170/760,25,1310,2620,131,12,24,368,102.00
cdc,cyber:170/815,50,2620,10480,30,12,24,32,74.00
cdc,cyber:170/825,50,2620,10480,30,12,24,63,74.00
cdc,cyber:170/835,56,5240,20970,30,12,24,106,138.00
cdc,cyber:170/845,64,5240,20970,30,12,24,208,136.00
cdc,omega:480-i,50,500,2000,8,1,4,20,23.00
cdc,omega:480-ii,50,1000,4000,8,1,5,29,29.00
cdc,omega:480-iii,50,2000,8000,8,1,5,71,44.00
cambex,1636-1,50,1000,4000,8,3,5,26,30.00
cambex,1636-10,50,1000,8000,8,3,5,36,41.00
cambex,1641-1,50,2000,16000,8,3,5,40,74.00
cambex,1641-11,50,2000,16000,8,3,6,52,74.00
cambex,1651-1,50,2000,16000,8,3,6,60,74.00
dec,decsys:10:1091,133,1000,12000,9,3,12,72,54.00
dec,decsys:20:2060,133,1000,8000,9,3,12,72,41.00
dec,microvax-1,810,512,512,8,1,1,18,18.00
dec,vax:11/730,810,1000,5000,0,1,1,20,28.00
dec,vax:11/750,320,512,8000,4,1,5,40,36.00
dec,vax:11/780,200,512,8000,8,1,8,62,38.00
dg,eclipse:c/350,700,384,8000,0,1,1,24,34.00
dg,eclipse:m/600,700,256,2000,0,1,1,24,19.00
dg,eclipse:mv/10000,140,1000,16000,16,1,3,138,72.00
dg,eclipse:mv/4000,200,1000,8000,0,1,2,36,36.00
dg,eclipse:mv/6000,110,1000,4000,16,1,2,26,30.00
dg,eclipse:mv/8000,110,1000,12000,16,1,2,60,56.00
dg,eclipse:mv/8000-ii,220,1000,8000,16,1,2,71,42.00
formation,f4000/100,800,256,8000,0,1,4,12,34.00
formation,f4000/200,800,256,8000,0,1,4,14,34.00
formation,f4000/200ap,800,256,8000,0,1,4,20,34.00
formation,f4000/300,800,256,8000,0,1,4,16,34.00
formation,f4000/300ap,800,256,8000,0,1,4,22,34.00
